@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute wek-1 {0,1,2,3}

@data
2268,'2023/03/14 23:21:00:969',12,9.851251,0.16002,-0.631107,1
2269,'2023/03/14 23:21:00:989',12,9.889536,0.187537,-0.704088,1
2270,'2023/03/14 23:21:01:010',12,9.924232,0.20668,-0.657428,1
2271,'2023/03/14 23:21:01:027',12,9.882358,0.237787,-0.537787,1
2272,'2023/03/14 23:21:01:046',12,9.815358,0.271286,-0.35683,1
2273,'2023/03/14 23:21:01:067',12,9.818948,0.277268,-0.234796,1
2274,'2023/03/14 23:21:01:085',12,9.91466,0.295215,-0.172582,1
2275,'2023/03/14 23:21:01:104',12,9.985548,0.294018,-0.273081,1
2276,'2023/03/14 23:21:01:122',12,9.924232,0.314357,-0.403789,1
2277,'2023/03/14 23:21:01:142',12,9.805787,0.289232,-0.387936,1
2278,'2023/03/14 23:21:01:160',12,9.771091,0.243769,-0.233599,1
2279,'2023/03/14 23:21:01:180',12,9.912268,0.185145,-0.135494,1
2280,'2023/03/14 23:21:01:199',12,10.083653,0.166002,-0.160618,1
2281,'2023/03/14 23:21:01:219',12,10.156635,0.138485,-0.325723,1
2282,'2023/03/14 23:21:01:238',12,10.212866,0.149252,-0.527019,1
2283,'2023/03/14 23:21:01:256',12,10.210473,0.140877,-0.494716,1
2284,'2023/03/14 23:21:01:276',12,10.14826,0.137288,-0.384347,1
2285,'2023/03/14 23:21:01:296',12,10.112368,0.146859,-0.286241,1
2286,'2023/03/14 23:21:01:314',12,10.159028,0.152842,-0.287438,1
2287,'2023/03/14 23:21:01:334',12,10.141082,0.168395,-0.368794,1
2288,'2023/03/14 23:21:01:353',12,10.042975,0.154038,-0.439681,1
2289,'2023/03/14 23:21:01:372',12,10.03819,0.142074,-0.410967,1
2290,'2023/03/14 23:21:01:390',12,10.087243,0.152842,-0.250349,1
