time,grx,gry,grz,lax,lay,laz
221,0.440833,0.14859,9.95793,-0.0353256,0.00337982,0.118069
222,0.440833,0.14859,10.1017,-0.0353256,0.00337982,0.118069
223,0.440833,0.14859,10.1017,-0.181055,0.00337982,0.118069
224,0.440833,0.14859,10.1017,-0.181055,0.0741768,0.118069
225,0.440833,0.14859,10.1017,-0.181055,0.0741768,0.2532
226,0.464774,0.14859,10.1017,-0.181055,0.0741768,0.2532
227,0.464774,0.186897,10.1017,-0.181055,0.0741768,0.2532
228,0.464774,0.186897,9.9916,-0.181055,0.0741768,0.2532
229,0.464774,0.186897,9.9916,-0.151369,0.0741768,0.2532
230,0.464774,0.186897,9.9916,-0.151369,0.109097,0.2532
231,0.464774,0.186897,9.9916,-0.151369,0.109097,0.138206
232,0.33055,0.186897,9.9916,-0.151369,0.109097,0.138206
233,0.33055,0.213234,9.9916,-0.151369,0.109097,0.138206
234,0.33055,0.213234,9.84062,-0.151369,0.109097,0.138206
235,0.33055,0.213234,9.84062,-0.277142,0.109097,0.138206
236,0.33055,0.213234,9.84062,-0.277142,0.134022,0.138206
237,0.33055,0.213234,9.84062,-0.277142,0.134022,-0.0122375
238,0.567725,0.213234,9.84062,-0.277142,0.134022,-0.0122375
239,0.567725,0.0718262,9.84062,-0.277142,0.134022,-0.0122375
240,0.567725,0.0718262,10.1209,-0.277142,0.134022,-0.0122375
241,0.567725,0.0718262,10.1209,-0.339507,0.134022,-0.0122375
242,0.567725,0.0718262,10.1209,-0.339507,0.19967,-0.0122375
243,0.567725,0.0718262,10.1209,-0.339507,0.19967,0.0694351
244,0.780959,0.0718262,10.1209,-0.339507,0.19967,0.0694351
245,0.780959,-0.0502785,10.1209,-0.339507,0.19967,0.0694351
246,0.780959,-0.0502785,10.0012,-0.339507,0.19967,0.0694351
247,0.780959,-0.0502785,10.0012,-0.0334396,0.19967,0.0694351
248,0.780959,-0.0502785,10.0012,-0.0334396,-0.00265198,0.0694351
249,0.780959,-0.0502785,10.0012,-0.0334396,-0.00265198,0.257076
250,0.780959,-0.0502785,10.0012,-0.0334396,-0.00265198,0.257076
251,0.780959,-0.0502785,10.0012,-0.0334396,-0.00265198,0.257076
252,0.780959,-0.0502785,10.0012,-0.0334396,-0.00265198,0.257076
253,0.780959,-0.0502785,10.0012,0.171329,-0.00265198,0.257076
254,0.780959,-0.0502785,10.0012,0.171329,-0.1229,0.257076
255,0.780959,-0.0502785,10.0012,0.171329,-0.1229,0.13289
256,0.824055,-0.0502785,10.0012,0.171329,-0.1229,0.13289
257,0.824055,-0.0430954,10.0012,0.171329,-0.1229,0.13289
258,0.824055,-0.0430954,9.8885,0.171329,-0.1229,0.13289
259,0.824055,-0.0430954,9.8885,0.198602,-0.1229,0.13289
260,0.824055,-0.0430954,9.8885,0.198602,-0.111246,0.13289
261,0.824055,-0.0430954,9.8885,0.198602,-0.111246,0.0201637
262,0.70195,-0.0430954,9.8885,0.198602,-0.111246,0.0201637
263,0.70195,0.0215485,9.8885,0.198602,-0.111246,0.0201637
264,0.70195,0.0215485,9.70415,0.198602,-0.111246,0.0201637
265,0.70195,0.0215485,9.70415,0.0585091,-0.111246,0.0201637
266,0.70195,0.0215485,9.70415,0.0585091,-0.0351112,0.0201637
267,0.70195,0.0215485,9.70415,0.0585091,-0.0351112,-0.157889
268,0.704344,0.0215485,9.70415,0.0585091,-0.0351112,-0.157889
269,0.704344,0.134075,9.70415,0.0585091,-0.0351112,-0.157889
270,0.704344,0.134075,9.8885,0.0585091,-0.0351112,-0.157889
271,0.704344,0.134075,9.8885,0.0449142,-0.0351112,-0.157889
272,0.704344,0.134075,9.8885,0.0449142,0.0909027,-0.157889
273,0.704344,0.134075,9.8885,0.0449142,0.0909027,0.0265205
274,0.891092,0.134075,9.8885,0.0449142,0.0909027,0.0265205
275,0.891092,0.100556,9.8885,0.0449142,0.0909027,0.0265205
276,0.891092,0.100556,10.061,0.0449142,0.0909027,0.0265205
277,0.891092,0.100556,10.061,0.221459,0.0909027,0.0265205
278,0.891092,0.100556,10.061,0.221459,0.0617867,0.0265205
279,0.891092,0.100556,10.061,0.221459,0.0617867,0.192508
280,0.831237,0.100556,10.061,0.221459,0.0617867,0.192508
