@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute wek-1 numeric
@attribute wek-2 numeric
@attribute wek-3 numeric
@attribute wek-4 numeric
@attribute wek-5 numeric
@attribute wek-6 numeric
@attribute wek-7 numeric
@attribute wek-8 numeric

@data
137,'2023/03/14 20:43:33:617',2,-0.245863,0.759721,-9.759726,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
138,'2023/03/14 20:43:33:637',2,-0.248255,0.754936,-9.757333,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
139,'2023/03/14 20:43:33:655',2,-0.253041,0.752543,-9.753743,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
140,'2023/03/14 20:43:33:674',2,-0.241077,0.770489,-9.747761,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
141,'2023/03/14 20:43:33:694',2,-0.229113,0.792024,-9.777672,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
142,'2023/03/14 20:43:33:715',2,-0.237488,0.78006,-9.799207,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
143,'2023/03/14 20:43:33:732',2,-0.251845,0.78006,-9.799207,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
144,'2023/03/14 20:43:33:751',2,-0.255434,0.78006,-9.771689,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
145,'2023/03/14 20:43:33:770',2,-0.244666,0.783649,-9.776475,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
146,'2023/03/14 20:43:33:790',2,-0.237488,0.764507,-9.769297,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
147,'2023/03/14 20:43:33:808',2,-0.238684,0.760918,-9.766904,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
148,'2023/03/14 20:43:33:827',2,-0.235095,0.760918,-9.7681,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
149,'2023/03/14 20:43:33:847',2,-0.237488,0.784846,-9.766904,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
150,'2023/03/14 20:43:33:867',2,-0.244666,0.782453,-9.775279,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
151,'2023/03/14 20:43:33:885',2,-0.255434,0.775275,-9.775279,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
152,'2023/03/14 20:43:33:903',2,-0.255434,0.778864,-9.776475,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
153,'2023/03/14 20:43:33:924',2,-0.253041,0.7669,-9.775279,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
154,'2023/03/14 20:43:33:943',2,-0.24347,0.764507,-9.780065,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
155,'2023/03/14 20:43:33:961',2,-0.235095,0.769292,-9.775279,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
156,'2023/03/14 20:43:33:981',2,-0.244666,0.775275,-9.765707,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
157,'2023/03/14 20:43:34:000',2,-0.241077,0.772882,-9.778868,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
158,'2023/03/14 20:43:34:020',2,-0.253041,0.768096,-9.780065,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
159,'2023/03/14 20:43:34:038',2,-0.249452,0.765703,-9.774082,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
160,'2023/03/14 20:43:34:057',2,-0.248255,0.78006,-9.775279,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
161,'2023/03/14 20:43:34:077',2,-0.24347,0.778864,-9.763314,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
162,'2023/03/14 20:43:34:095',2,-0.241077,0.770489,-9.775279,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
163,'2023/03/14 20:43:34:115',2,-0.23988,0.758525,-9.772886,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
164,'2023/03/14 20:43:34:134',2,-0.251845,0.774078,-9.771689,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
165,'2023/03/14 20:43:34:153',2,-0.248255,0.778864,-9.78126,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
166,'2023/03/14 20:43:34:172',2,-0.253041,0.777667,-9.787243,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
167,'2023/03/14 20:43:34:193',2,-0.23988,0.787239,-9.769297,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
168,'2023/03/14 20:43:34:210',2,-0.245863,0.772882,-9.776475,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
169,'2023/03/14 20:43:34:231',2,-0.236291,0.769292,-9.774082,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
170,'2023/03/14 20:43:34:249',2,-0.238684,0.768096,-9.774082,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
171,'2023/03/14 20:43:34:269',2,-0.245863,0.762114,-9.762118,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
172,'2023/03/14 20:43:34:287',2,-0.242273,0.770489,-9.762118,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
173,'2023/03/14 20:43:34:307',2,-0.25663,0.775275,-9.775279,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
